horizon_h,features,model,test_n,accuracy,balanced_accuracy,macro_f1,weighted_f1
6,current_pm25_only,majority_baseline,2010,0.38308457711442784,0.2,0.11079136690647481,0.2122123196964816
6,current_pm25_only,logistic_balanced,2010,0.590547263681592,0.35384511784511785,0.35522928557074895,0.5928030024741588
6,current_pm25_only,hist_gradient_boost,2010,0.6049751243781094,0.362018278018278,0.363466330005209,0.6046597949066277
6,current_pm25_only,extra_trees_balanced,2010,0.6154228855721393,0.3677864357864358,0.3647200165494361,0.6070148928196382
6,current_pm25_only,random_forest_balanced,2010,0.6149253731343284,0.36555074555074557,0.3649404198241899,0.6083999539632436
6,darksky_forecast_only,majority_baseline,2010,0.38308457711442784,0.2,0.11079136690647481,0.2122123196964816
6,darksky_forecast_only,logistic_balanced,2010,0.4253731343283582,0.3188849668849669,0.2661068968904838,0.41573449504403004
6,darksky_forecast_only,hist_gradient_boost,2010,0.29203980099502486,0.20987397787397785,0.11487817314198374,0.16488905376485513
6,darksky_forecast_only,extra_trees_balanced,2010,0.3194029850746269,0.22462145262145264,0.14356979174536022,0.2170241875661104
6,darksky_forecast_only,random_forest_balanced,2010,0.3164179104477612,0.22250120250120248,0.13306880471688168,0.2033720544913953
6,current_pm25_plus_darksky,majority_baseline,2010,0.38308457711442784,0.2,0.11079136690647481,0.2122123196964816
6,current_pm25_plus_darksky,logistic_balanced,2010,0.5238805970149254,0.3300993820993821,0.32495684360267085,0.5449165477592898
6,current_pm25_plus_darksky,hist_gradient_boost,2010,0.6437810945273632,0.39214622414622413,0.3806951265344933,0.6310305592227804
6,current_pm25_plus_darksky,extra_trees_balanced,2010,0.6378109452736318,0.38692255892255895,0.3810618258872914,0.6313787113035598
6,current_pm25_plus_darksky,random_forest_balanced,2010,0.6592039800995025,0.39946127946127946,0.3918243953732913,0.6493485516685762
12,current_pm25_only,majority_baseline,2008,0.3834661354581673,0.2,0.11087113030957522,0.21257661936845848
12,current_pm25_only,logistic_balanced,2008,0.5288844621513944,0.31491151516836197,0.3200427711408255,0.5356933958695231
12,current_pm25_only,hist_gradient_boost,2008,0.5517928286852589,0.32926598699522763,0.327909743183277,0.5463068527029525
12,current_pm25_only,extra_trees_balanced,2008,0.5547808764940239,0.3310625374798163,0.3284126584016814,0.5482522842116474
12,current_pm25_only,random_forest_balanced,2008,0.5493027888446215,0.32764560665129816,0.32493978055918066,0.5421235601214013
12,darksky_forecast_only,majority_baseline,2008,0.3834661354581673,0.2,0.11087113030957522,0.21257661936845848
12,darksky_forecast_only,logistic_balanced,2008,0.4651394422310757,0.3109485817215544,0.28495717281229016,0.45760056262325616
12,darksky_forecast_only,hist_gradient_boost,2008,0.30876494023904383,0.21923762464989296,0.133213341816299,0.1940172083235628
12,darksky_forecast_only,extra_trees_balanced,2008,0.30776892430278885,0.21826133944536436,0.13311601173830362,0.19741765274801887
12,darksky_forecast_only,random_forest_balanced,2008,0.3237051792828685,0.22647502551768736,0.13969995676948313,0.21575814486990266
12,current_pm25_plus_darksky,majority_baseline,2008,0.3834661354581673,0.2,0.11087113030957522,0.21257661936845848
12,current_pm25_plus_darksky,logistic_balanced,2008,0.48854581673306774,0.30581963598065165,0.2988331853688064,0.49370539654696777
12,current_pm25_plus_darksky,hist_gradient_boost,2008,0.575199203187251,0.35277907814270126,0.3383104911365681,0.5597900359532397
12,current_pm25_plus_darksky,extra_trees_balanced,2008,0.5811752988047809,0.3538899372532685,0.34619636874604265,0.5741864356605335
12,current_pm25_plus_darksky,random_forest_balanced,2008,0.5921314741035857,0.3598084866061711,0.35365439763467255,0.5862465990697019
24,current_pm25_only,majority_baseline,2005,0.38403990024937656,0.2,0.110990990990991,0.21312484554379818
24,current_pm25_only,logistic_balanced,2005,0.4688279301745636,0.37803423085322196,0.4204743400925458,0.48165272717353624
24,current_pm25_only,hist_gradient_boost,2005,0.49625935162094764,0.30676923472175693,0.3050535701462264,0.48797636979789377
24,current_pm25_only,extra_trees_balanced,2005,0.5286783042394015,0.3160015454377472,0.3114819422599548,0.518608748428325
24,current_pm25_only,random_forest_balanced,2005,0.5221945137157107,0.32644293392067875,0.3261883726302839,0.5143087553827629
24,darksky_forecast_only,majority_baseline,2005,0.38403990024937656,0.2,0.110990990990991,0.21312484554379818
24,darksky_forecast_only,logistic_balanced,2005,0.46733167082294264,0.3277190662947339,0.2972805038139689,0.46114605575974915
24,darksky_forecast_only,hist_gradient_boost,2005,0.3052369077306733,0.21798458712405303,0.12991406395199617,0.1879230837598325
24,darksky_forecast_only,extra_trees_balanced,2005,0.30972568578553616,0.2200708687949044,0.13145972533625327,0.19730693440354474
24,darksky_forecast_only,random_forest_balanced,2005,0.3122194513715711,0.2206030962114048,0.12731107675842795,0.19409673242424588
24,current_pm25_plus_darksky,majority_baseline,2005,0.38403990024937656,0.2,0.110990990990991,0.21312484554379818
24,current_pm25_plus_darksky,logistic_balanced,2005,0.4488778054862843,0.31325623930965174,0.2803754880115981,0.45403664825202095
24,current_pm25_plus_darksky,hist_gradient_boost,2005,0.5281795511221945,0.3350301330716761,0.3174274592874155,0.515033821207228
24,current_pm25_plus_darksky,extra_trees_balanced,2005,0.5331670822942643,0.3299156827346738,0.3180979537790031,0.5235249426763816
24,current_pm25_plus_darksky,random_forest_balanced,2005,0.5381546134663342,0.3325115043215933,0.32329438127232246,0.5315213886361385
48,current_pm25_only,majority_baseline,1999,0.38519259629814906,0.2,0.11123149151318165,0.2142277350303899
48,current_pm25_only,logistic_balanced,1999,0.33366683341670833,0.2536060214101757,0.20934943998734418,0.34877247830034774
48,current_pm25_only,hist_gradient_boost,1999,0.4287143571785893,0.30518140503303715,0.276234531307988,0.4130465465592583
48,current_pm25_only,extra_trees_balanced,1999,0.432216108054027,0.2510664936777697,0.24875225516653893,0.4213385294569996
48,current_pm25_only,random_forest_balanced,1999,0.432216108054027,0.2665990345515568,0.2653984627109228,0.4235672860537414
48,darksky_forecast_only,majority_baseline,1999,0.38519259629814906,0.2,0.11123149151318165,0.2142277350303899
48,darksky_forecast_only,logistic_balanced,1999,0.42021010505252626,0.28701142466721097,0.24877312841566562,0.3957080478819271
48,darksky_forecast_only,hist_gradient_boost,1999,0.28214107053526766,0.20609077920650623,0.10713020091757633,0.15062201247752494
48,darksky_forecast_only,extra_trees_balanced,1999,0.27963981990995496,0.20508304751628192,0.09644165899966428,0.13540892642977728
48,darksky_forecast_only,random_forest_balanced,1999,0.30865432716358177,0.21977945342930508,0.12651912910154145,0.1919548451922861
48,current_pm25_plus_darksky,majority_baseline,1999,0.38519259629814906,0.2,0.11123149151318165,0.2142277350303899
48,current_pm25_plus_darksky,logistic_balanced,1999,0.3856928464232116,0.31347472397917503,0.23951205488897473,0.3674001709731176
48,current_pm25_plus_darksky,hist_gradient_boost,1999,0.3551775887943972,0.26012067172304565,0.2011883532779605,0.2572756854649317
48,current_pm25_plus_darksky,extra_trees_balanced,1999,0.45672836418209106,0.291675765711374,0.2714015533481576,0.44288698413655053
48,current_pm25_plus_darksky,random_forest_balanced,1999,0.4382191095547774,0.2864550121820152,0.2543361661063467,0.4085331641991451
72,current_pm25_only,majority_baseline,1993,0.386352232814852,0.2,0.11147303655446979,0.21533928285735507
72,current_pm25_only,logistic_balanced,1993,0.288509784244857,0.20968372606954944,0.17836746221821678,0.30360832078393324
72,current_pm25_only,hist_gradient_boost,1993,0.4109382839939789,0.24922055661361497,0.23945482484972702,0.3987601372062702
72,current_pm25_only,extra_trees_balanced,1993,0.40090316106372303,0.24667842232340614,0.24003236488739005,0.3926908745713514
72,current_pm25_only,random_forest_balanced,1993,0.3943803311590567,0.24204289625621273,0.23599204967047743,0.3850014855263573
72,darksky_forecast_only,majority_baseline,1993,0.386352232814852,0.2,0.11147303655446979,0.21533928285735507
72,darksky_forecast_only,logistic_balanced,1993,0.46011038635223284,0.30906731739459375,0.28330728860423304,0.45122398262631536
72,darksky_forecast_only,hist_gradient_boost,1993,0.2870045158053186,0.21081299345027546,0.11064264267122692,0.15552179498384716
72,darksky_forecast_only,extra_trees_balanced,1993,0.28299046663321625,0.20790319472812055,0.10123706305508091,0.1442326471553672
72,darksky_forecast_only,random_forest_balanced,1993,0.31108881083793277,0.2224742310002204,0.13182997922638154,0.19990076113375094
72,current_pm25_plus_darksky,majority_baseline,1993,0.386352232814852,0.2,0.11147303655446979,0.21533928285735507
72,current_pm25_plus_darksky,logistic_balanced,1993,0.3763171098845961,0.2791421050748227,0.22968027224311732,0.354358971082636
72,current_pm25_plus_darksky,hist_gradient_boost,1993,0.3702960361264426,0.25571563234884676,0.18633697294781598,0.28019001507589303
72,current_pm25_plus_darksky,extra_trees_balanced,1993,0.38233818364274963,0.25582779704874864,0.2138816818424079,0.34338085265193263
72,current_pm25_plus_darksky,random_forest_balanced,1993,0.369292523833417,0.25239589670490215,0.19787974937481873,0.31082399088910545
