horizon_h,features,model,test_n,accuracy,balanced_accuracy,macro_f1,weighted_f1
24,MERRA2_weather_time,majority_baseline,2023,0.4740484429065744,0.25,0.1607981220657277,0.304904397550238
24,MERRA2_weather_time,balanced_logistic,2023,0.32328225407810185,0.32037840214433627,0.23023577339789816,0.24457573938113497
24,MERRA2_weather_time,random_forest_balanced,2023,0.2985664854176965,0.283084142869033,0.17322973385407608,0.20080413943796
24,MERRA2_weather_time,extra_trees_balanced,2023,0.3213049925852694,0.29283358365034917,0.19441070446874764,0.2423132496366709
24,MERRA2_weather_time,hist_gradient_boost,2023,0.2773109243697479,0.2806628372035771,0.19685464568027708,0.19818490523300322
24,station_weather_time,majority_baseline,2023,0.4740484429065744,0.25,0.1607981220657277,0.304904397550238
24,station_weather_time,balanced_logistic,2023,0.21403855659911022,0.23085153395296654,0.1675636425789724,0.23193741263149384
24,station_weather_time,random_forest_balanced,2023,0.25111220958971825,0.25,0.10035559067562229,0.10080205647694734
24,station_weather_time,extra_trees_balanced,2023,0.25111220958971825,0.25,0.10035559067562229,0.10080205647694734
24,station_weather_time,hist_gradient_boost,2023,0.25111220958971825,0.25,0.10035559067562229,0.10080205647694734
24,combined_weather_time,majority_baseline,2023,0.4740484429065744,0.25,0.1607981220657277,0.304904397550238
24,combined_weather_time,balanced_logistic,2023,0.29461196243203164,0.3011557975400272,0.19759963188280735,0.19927989926368914
24,combined_weather_time,random_forest_balanced,2023,0.3222936233316856,0.29487631776288137,0.1959504804620009,0.24249735582633053
24,combined_weather_time,extra_trees_balanced,2023,0.3336628769154721,0.30012474101949665,0.20710391168503386,0.2631632010034135
24,combined_weather_time,hist_gradient_boost,2023,0.28769154720711815,0.2818053997509481,0.20414509142286863,0.21972273179465637
48,MERRA2_weather_time,majority_baseline,2017,0.47545860188398614,0.25,0.161122311827957,0.3064279564561443
48,MERRA2_weather_time,balanced_logistic,2017,0.2766484878532474,0.2800168620125308,0.1658825040844326,0.16322615400560636
48,MERRA2_weather_time,random_forest_balanced,2017,0.3232523549826475,0.29464488154797336,0.19066850056842077,0.24156403356198186
48,MERRA2_weather_time,extra_trees_balanced,2017,0.3158155676747645,0.2940370083923411,0.1941876359200218,0.23530824367192155
48,MERRA2_weather_time,hist_gradient_boost,2017,0.3341596430342092,0.3341452465571581,0.21606728378004975,0.221784694698544
48,station_weather_time,majority_baseline,2017,0.47545860188398614,0.25,0.161122311827957,0.3064279564561443
48,station_weather_time,balanced_logistic,2017,0.28358948934060485,0.2295873846665863,0.21470219826852188,0.3147448208835579
48,station_weather_time,random_forest_balanced,2017,0.24888448190381754,0.25,0.09964271536323938,0.09919810235467758
48,station_weather_time,extra_trees_balanced,2017,0.24888448190381754,0.25,0.09964271536323938,0.09919810235467758
48,station_weather_time,hist_gradient_boost,2017,0.24888448190381754,0.25,0.09964271536323938,0.09919810235467758
48,combined_weather_time,majority_baseline,2017,0.47545860188398614,0.25,0.161122311827957,0.3064279564561443
48,combined_weather_time,balanced_logistic,2017,0.3396132870599901,0.3476240267147179,0.23482549557196541,0.2301103904486319
48,combined_weather_time,random_forest_balanced,2017,0.31184928111056026,0.29122889238221894,0.1839971602146339,0.22297476607887556
48,combined_weather_time,extra_trees_balanced,2017,0.3024293505205751,0.28796836977222323,0.18006085365576116,0.20916055887606688
48,combined_weather_time,hist_gradient_boost,2017,0.330193356470005,0.3319770838978468,0.2108607446967117,0.21301672827397636
